     41/99     1.86G   0.04218    0.0817   0.02576    0.1496        25       416    0.3945    0.8027    0.6987    0.3067   0.04714   0.05825   0.02204
     42/99     1.86G   0.04192   0.08148   0.02557     0.149        37       416    0.4367    0.7924    0.7285    0.3231   0.04729   0.05679   0.01999
     43/99     1.86G   0.04205   0.08232   0.02537    0.1497        41       416    0.4191    0.8035    0.7109    0.3002   0.04925   0.05898   0.02012
     44/99     1.86G   0.04151   0.08164   0.02529    0.1484        30       416    0.4202    0.7954    0.7176    0.3377   0.04544   0.05534    0.0201
     45/99     1.86G   0.04103   0.08206   0.02467    0.1478        35       416    0.4303    0.8217    0.7209    0.3615   0.04257   0.05587   0.02003
     46/99     1.86G   0.04102   0.08122   0.02482    0.1471        35       416    0.4711    0.8239    0.7452     0.372   0.04456    0.0553   0.01968
     47/99     1.86G   0.04084   0.08047   0.02469     0.146        38       416      0.43    0.8329    0.7476      0.34   0.04598   0.05849   0.01927
     48/99     1.86G   0.04037   0.08037   0.02462    0.1454        42       416    0.5111    0.8434    0.7527    0.3864   0.04362   0.05519   0.01973
     49/99     1.86G   0.04089   0.08078   0.02429     0.146        54       416     0.506    0.8234     0.756    0.3702     0.045   0.05508   0.01926
     50/99     1.86G   0.04079   0.07997   0.02455    0.1453        57       416    0.4483    0.8379    0.7523    0.3637   0.04431   0.05644   0.01935
     51/99     1.86G   0.04062   0.07964   0.02442    0.1447        66       416     0.451    0.8447    0.7742    0.3784   0.04377   0.05561   0.01942
     52/99     1.86G   0.03988    0.0798   0.02375    0.1434        33       416    0.4586    0.8347    0.7487    0.3478   0.04441   0.05693   0.01959
     53/99     1.86G   0.04013   0.07947   0.02409    0.1437        30       416    0.4524    0.8406    0.7488    0.3731   0.04318   0.05481   0.01919
     54/99     1.86G   0.04018   0.08016   0.02414    0.1445        36       416    0.4585    0.8393    0.7388    0.3517   0.04401   0.05471   0.01914
     55/99     1.86G   0.03948   0.07592   0.02342    0.1388        39       416    0.4806    0.8323    0.7419    0.3755   0.04153   0.05396   0.01939
     56/99     1.86G   0.03989    0.0792   0.02414    0.1432        51       416    0.4776    0.8532    0.7529     0.394   0.04194   0.05379   0.01877
     57/99     1.86G   0.03912   0.07752   0.02356    0.1402        21       416    0.4917    0.8263    0.7424    0.3853   0.04271   0.05411   0.01907
     58/99     1.86G   0.03931   0.07831   0.02347    0.1411        41       416    0.4785    0.8538    0.7631    0.3932   0.04323   0.05455   0.01867
     59/99     1.86G   0.03891    0.0772   0.02334    0.1394        28       416    0.4915     0.827      0.75    0.3865   0.04239    0.0543   0.01929
     60/99     1.86G   0.03876   0.07518    0.0232    0.1371        62       416    0.4733    0.8296    0.7687    0.3907   0.04355   0.05542   0.01867
     61/99     1.86G   0.03891   0.07677     0.023    0.1387        46       416    0.4856    0.8221    0.7658    0.3959   0.04159   0.05388   0.01913
     62/99     1.86G   0.03888   0.07773   0.02307    0.1397        22       416    0.4752    0.8615    0.7667    0.3869   0.04168   0.05434   0.01863
     63/99     1.86G   0.03848    0.0757   0.02294    0.1371        23       416    0.4834    0.8583    0.7832     0.411   0.04046   0.05226    0.0186
     64/99     1.86G   0.03863   0.07686   0.02302    0.1385        38       416    0.4973    0.8413    0.7742    0.3965   0.04145   0.05441   0.01865
     65/99     1.86G   0.03834   0.07504   0.02294    0.1363        59       416    0.4888    0.8541    0.7822     0.406    0.0414   0.05324   0.01851
     66/99     1.86G   0.03817   0.07583   0.02291    0.1369        47       416    0.4963    0.8701    0.7898    0.4012   0.04229   0.05443   0.01867
     67/99     1.86G   0.03813   0.07606   0.02269    0.1369        71       416    0.4743    0.8575    0.7759     0.407     0.041   0.05392   0.01832
     68/99     1.86G   0.03818   0.07478   0.02285    0.1358        30       416     0.484    0.8673    0.7778    0.4142   0.04062   0.05246    0.0182
     69/99     1.86G   0.03772   0.07483   0.02249     0.135        58       416    0.4923    0.8458    0.7978    0.4203   0.04061    0.0521   0.01813
     70/99     1.86G    0.0377   0.07478   0.02249     0.135        32       416    0.4822    0.8578    0.7861    0.4074    0.0416   0.05377   0.01819
     71/99     1.86G   0.03751    0.0747   0.02233    0.1345        37       416    0.5167    0.8718     0.791    0.4165   0.04185   0.05434   0.01829
     72/99     1.86G    0.0375   0.07363   0.02206    0.1332        47       416     0.495     0.866    0.7869     0.438   0.03944   0.05326   0.01815
     73/99     1.86G   0.03779   0.07412   0.02256    0.1345        40       416    0.4942    0.8419    0.7742    0.4041   0.04129   0.05304   0.01836
     74/99     1.86G   0.03729   0.07457   0.02211     0.134        36       416    0.5153    0.8701    0.8042    0.4247   0.04073   0.05288   0.01795
     75/99     1.86G   0.03712   0.07241   0.02199    0.1315        56       416    0.4866     0.857    0.7945    0.4384   0.04004   0.05306   0.01816
     76/99     1.86G   0.03736   0.07397   0.02226    0.1336        28       416    0.5164    0.8775    0.8106    0.4303   0.03995   0.05297   0.01781
     77/99     1.86G   0.03704   0.07377    0.0221    0.1329        33       416    0.4984    0.8855    0.8032    0.4279   0.04075   0.05223   0.01776
     78/99     1.86G    0.0372   0.07446    0.0224    0.1341        25       416    0.4854    0.8737      0.79    0.4246   0.04072    0.0534   0.01775
     79/99     1.86G   0.03728   0.07248   0.02219     0.132        45       416    0.4945    0.8839    0.8006    0.4276   0.04049   0.05332   0.01794
     80/99     1.86G   0.03703    0.0728   0.02222    0.1321        31       416    0.5101    0.8617    0.8023    0.4237   0.04162   0.05353   0.01788
     81/99     1.86G   0.03677   0.07365   0.02185    0.1323        44       416     0.505     0.858    0.8028    0.4423   0.04005   0.05284   0.01781
     82/99     1.86G   0.03668   0.07336   0.02181    0.1319        70       416    0.5188    0.8591    0.8073    0.4458   0.03996   0.05231   0.01779
     83/99     1.86G   0.03655   0.07249   0.02164    0.1307        24       416    0.5113     0.865    0.8107    0.4413   0.03936   0.05152   0.01763
     84/99     1.86G   0.03674   0.07338    0.0221    0.1322        52       416    0.5017    0.8685    0.8032      0.44   0.04034   0.05268   0.01778
     85/99     1.86G   0.03638   0.07222   0.02183    0.1304        59       416    0.4994    0.8613    0.8014    0.4364   0.03967   0.05239   0.01759
     86/99     1.86G   0.03649   0.07218   0.02171    0.1304        45       416    0.5096    0.8447    0.8042    0.4405   0.03992   0.05315   0.01778
     87/99     1.86G   0.03636   0.07392   0.02165    0.1319        34       416    0.5138    0.8656    0.8029    0.4292   0.03978   0.05246   0.01761
     88/99     1.86G   0.03637   0.07153   0.02142    0.1293        36       416    0.5164    0.8698    0.8042    0.4406   0.03933    0.0515    0.0178
     89/99     1.86G   0.03637   0.07093   0.02157    0.1289        57       416    0.5051    0.8717    0.8144    0.4315   0.03983   0.05327   0.01752
     90/99     1.86G   0.03601   0.07288   0.02121    0.1301        63       416    0.5259    0.8668    0.7973    0.4202   0.04042    0.0535   0.01755
     91/99     1.86G   0.03592   0.07172   0.02135     0.129        21       416      0.53    0.8622    0.8118    0.4492   0.03974   0.05352   0.01756
     92/99     1.86G   0.03594   0.07204   0.02135    0.1293        33       416    0.5106     0.865    0.8036    0.4442   0.03928   0.05221   0.01757
     93/99     1.86G   0.03598   0.06943   0.02141    0.1268        28       416    0.4985    0.8702    0.8041    0.4424   0.03908   0.05151   0.01746
     94/99     1.86G   0.03595    0.0727    0.0215    0.1301        56       416    0.5206    0.8857    0.8097    0.4399   0.03994   0.05315   0.01743
     95/99     1.86G   0.03569     0.072   0.02119    0.1289        47       416    0.5019    0.8769    0.8103    0.4393    0.0396   0.05315   0.01728
     96/99     1.86G    0.0359   0.07304   0.02126    0.1302        30       416    0.5267    0.8797    0.8076    0.4426   0.04014   0.05274   0.01753
     97/99     1.86G   0.03561   0.07184   0.02122    0.1287        37       416    0.5142    0.8685    0.8031    0.4385   0.03992   0.05282   0.01752
     98/99     1.86G   0.03571   0.07078   0.02126    0.1278        42       416    0.5143    0.8574     0.803    0.4525   0.03901   0.05233   0.01756
     99/99     1.86G   0.03579     0.071   0.02142    0.1282        29       416      0.51    0.8613      0.81    0.4434   0.03912   0.05236    0.0176
